Product_name,Price_in_rupees,Rating_out_of_5,link,.
"Samsung 54.6 cm (21.5 inch) LED Bezel Less Computer Monitor - Full HD, Super Slim AH-IPS Panel - LS22R350FHWXXL",8899.0,4.3,https://www.amazon.in//Samsung-21-5-Bezel-Computer-Monitor/dp/B08759387K/ref=sr_1_7?dchild=1&keywords=monitor&qid=1610883885&sr=8-7,.
"Samsung 21.5 inch (54.6 cm) LED Bezel Less Computer Monitor - Full HD, Super Slim AH-IPS panel-LF22T350FHWXXL",7699.0,3.9,https://www.amazon.in//Samsung-Bezel-Computer-Monitor-panel-LF22T350FHWXXL/dp/B08GC687TV/ref=sr_1_8?dchild=1&keywords=monitor&qid=1610883885&sr=8-8,.
"Lenovo 54.6 cm (21.5 inch) Near Edgeless Monitor with LED Display, VA Panel, AMD Free Synch, HDMI and VGA inputs, TUV Certified Eye Comfort - L22e-20 (Raven Black)",6999.0,4.3,https://www.amazon.in//Lenovo-L22e-20-Monitor-Display-inputs/dp/B07SGDWMCG/ref=sr_1_9?dchild=1&keywords=monitor&qid=1610883885&sr=8-9,.
"HP 18.5 inch (46.9 cm) LED Backlit Computer Monitor - HD, TN Panel with VGA Port - 19KA (Black)",4999.0,4.1,https://www.amazon.in//HP-18-5-inch-46-9-Monitor/dp/B01H1Q8P3E/ref=sr_1_10?dchild=1&keywords=monitor&qid=1610883885&sr=8-10,.
"LG QHD (2560 x 1440) 32 Inch IPS Display 3 Side Borderless - HDR 10, sRGB 99%, AMD Free sync - Dual HDMI, Display Port - 32QN600",23990.0,4.1,https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A035503123WJVE0OA7FI5&url=%2FLG-2560-1440-Display-Borderless%2Fdp%2FB08CF59SKW%2Fref%3Dsr_1_11_sspa%3Fdchild%3D1%26keywords%3Dmonitor%26qid%3D1610883885%26sr%3D8-11-spons%26psc%3D1&qualifier=1610883885&id=7593991590530877&widgetName=sp_mtf,.
"LG UltraWide 34 Inch WFHD (2560 x 1080) IPS Display - HDR 10, AMD Free sync, sRGB 99%, Multitasking and Gaming Monitor - 34WL500",26828.0,4.1,https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0935014PF0FVGH4JW3B&url=%2FLG-UltraWide-Inch-WFHD-Display%2Fdp%2FB08CF4LZT1%2Fref%3Dsr_1_12_sspa%3Fdchild%3D1%26keywords%3Dmonitor%26qid%3D1610883885%26sr%3D8-12-spons%26psc%3D1&qualifier=1610883885&id=7593991590530877&widgetName=sp_mtf,.
Acer Nitro QG221Q 21.5 Inch Full HD Gaming Monitor - VA Panel - 1 MS - 75 Hz - 250 Nits - AMD Free Sync - 1 X VGA 2 X HDMI - QG221Q (Black),7699.0,4.4,https://www.amazon.in//Acer-Nitro-QG221Q-Gaming-Monitor/dp/B07S31CP9G/ref=sr_1_13?dchild=1&keywords=monitor&qid=1610883885&sr=8-13,.
"LG 19 inch HD Ready Monitor, TN Panel with VGA, HDMI Ports - 19M38HB (Black)",5471.0,4.0,https://www.amazon.in//LG-inch-46-99-LED-Monitor/dp/B06VX4VQCP/ref=sr_1_14?dchild=1&keywords=monitor&qid=1610883885&sr=8-14,.
Zebronics 18.5(46.9cm) Monitor with HDMI and VGA Port(Black),4344.0,3.6,https://www.amazon.in//Zebronics-46-9cm-Monitor-HDMI-Black/dp/B08CH2BXV8/ref=sr_1_15?dchild=1&keywords=monitor&qid=1610883885&sr=8-15,.
Zebronics 18.5(46.9cm) Monitor with VGA Port(Black),4259.0,3.8,https://www.amazon.in//Zebronics-ZEB-A19-19-inch-Monitor-Black/dp/B075YR4GMZ/ref=sr_1_16?dchild=1&keywords=monitor&qid=1610883885&sr=8-16,.
Dell P Series 24-inch (60.96 cm) Screen Full HD (1080p) LED-Lit Monitor with IPS Panel - P2419H (Black),12673.0,4.4,https://www.amazon.in//Dell-Screen-LED-Lit-Monitor-P2419H/dp/B07F8XZN69/ref=sr_1_17?dchild=1&keywords=monitor&qid=1610883885&sr=8-17,.
